SP500_ret,realized_vol,impliedvix,datetime
0.001723,6.00E-06,0.000086,03-Jul-90
-0.012517,0.000117,0.000098,05-Jul-90
0.007674,0.000024,0.000089,06-Jul-90
0.003064,0.000026,0.000092,09-Jul-90
-0.008464,0.000046,0.000095,10-Jul-90
0.013209,0.000042,0.000092,11-Jul-90
0.011587,0.000052,0.000096,12-Jul-90
0.005104,0.000048,0.000097,13-Jul-90
0.004455,0.000017,0.000093,16-Jul-90
-0.003883,0.000078,0.000092,17-Jul-90
-0.00902,0.000074,0.000118,18-Jul-90
0.003016,0.000033,0.000114,19-Jul-90
-0.010207,0.000089,0.000081,20-Jul-90
-0.017576,0.000174,0.000185,23-Jul-90
0.00135,0.000063,0.000157,24-Jul-90
0.003647,0.000018,0.000135,25-Jul-90
-0.00331,0.000068,0.000136,26-Jul-90
-0.006964,0.000055,0.000148,27-Jul-90
0.005952,0.000078,0.000148,30-Jul-90
0.001686,0.000025,0.000147,31-Jul-90
-0.00177,0.000037,0.000155,01-Aug-90
-0.011429,0.000098,0.000138,02-Aug-90
-0.019014,0.000677,0.000273,03-Aug-90
-0.030711,0.000643,0.000426,06-Aug-90
0.001195,0.000141,0.000355,07-Aug-90
0.010458,0.000048,0.000264,08-Aug-90
0.004688,0.000039,0.000197,09-Aug-90
-0.013088,0.000049,0.000219,10-Aug-90
0.009846,0.000112,0.000219,13-Aug-90
0.001622,0.000048,0.000193,14-Aug-90
0.001972,0.000049,0.00018,15-Aug-90
-0.022813,0.000139,0.000244,16-Aug-90
-0.013814,0.000268,0.000251,17-Aug-90
0.002072,0.0001,0.000232,20-Aug-90
-0.020451,0.000577,0.000276,21-Aug-90
-0.016635,0.000098,0.000309,22-Aug-90
-0.030438,0.000722,0.00044,23-Aug-90
0.014388,0.000234,0.000381,24-Aug-90
0.031379,0.000797,0.00029,27-Aug-90
-0.000311,0.000048,0.00028,28-Aug-90
0.00883,0.000058,0.000248,29-Aug-90
-0.017048,0.000108,0.000295,30-Aug-90
0.012008,0.000108,0.000296,31-Aug-90
0.001642,0.000105,0.000289,04-Sep-90
0.004016,0.000135,0.000269,05-Sep-90
-0.012189,0.000066,0.000301,06-Sep-90
0.009132,0.00008,0.000273,07-Sep-90
-0.005488,0.000122,0.000285,10-Sep-90
-0.001836,0.000026,0.000266,11-Sep-90
0.004661,0.000028,0.000261,12-Sep-90
-0.012134,0.00006,0.000284,13-Sep-90
-0.005728,0.000071,0.000309,14-Sep-90
0.002962,0.000039,0.000289,17-Sep-90
0.002609,0.000088,0.000275,18-Sep-90
-0.006297,0.000026,0.000257,19-Sep-90
-0.016304,0.00015,0.000272,20-Sep-90
-0.000514,0.000047,0.000298,21-Sep-90
-0.021855,0.00021,0.000309,24-Sep-90
0.011977,0.000053,0.000274,25-Sep-90
-0.010435,0.000101,0.000263,26-Sep-90
-0.013498,0.000176,0.000272,27-Sep-90
0.016738,0.000442,0.00028,28-Sep-90
0.028634,0.000226,0.00026,01-Oct-90
0.000857,0.000182,0.000246,02-Oct-90
-0.012161,0.000092,0.000257,03-Oct-90
0.004134,0.000144,0.00025,04-Oct-90
-0.003813,0.000356,0.000256,05-Oct-90
0.006336,0.000156,0.00026,08-Oct-90
-0.027096,0.000133,0.000312,09-Oct-90
-0.015558,0.000326,0.000322,10-Oct-90
-0.016548,0.000159,0.000382,11-Oct-90
0.015349,0.000398,0.000337,12-Oct-90
0.010609,0.000185,0.000331,15-Oct-90
-0.014316,0.000104,0.000327,16-Oct-90
-0.000535,0.000046,0.000325,17-Oct-90
0.023094,0.000162,0.00029,18-Oct-90
0.021805,0.000244,0.000257,19-Oct-90
0.00727,0.000082,0.000246,22-Oct-90
-0.007654,0.000066,0.000251,23-Oct-90
0.000768,0.000034,0.000264,24-Oct-90
-0.007804,0.000063,0.000279,25-Oct-90
-0.01776,0.000075,0.000313,26-Oct-90
-0.009331,0.00012,0.000329,29-Oct-90
0.007195,0.000137,0.000308,30-Oct-90
-0.000197,0.000043,0.000298,31-Oct-90
0.009885,0.00006,0.000303,01-Nov-90
0.015609,0.000064,0.000298,02-Nov-90
0.008748,0.000052,0.000295,05-Nov-90
-0.009486,0.000057,0.00028,06-Nov-90
-0.018167,0.000069,0.000315,07-Nov-90
0.005215,0.000129,0.000313,08-Nov-90
0.019732,0.000084,0.00024,09-Nov-90
0.01813,0.00009,0.000217,12-Nov-90
-0.005682,0.000055,0.0002,13-Nov-90
0.008557,0.000044,0.000173,14-Nov-90
-0.010605,0.000076,0.000168,15-Nov-90
0.000315,0.000037,0.000151,16-Nov-90
0.006976,0.000078,0.000145,19-Nov-90
-0.0127,0.000031,0.000133,20-Nov-90
0.002281,0.000074,0.000147,21-Nov-90
-0.002947,0.000022,0.000146,23-Nov-90
0.004465,0.000142,0.000171,26-Nov-90
0.005011,0.00006,0.000173,27-Nov-90
-0.000472,0.00003,0.000174,28-Nov-90
-0.004824,0.000062,0.000189,29-Nov-90
0.018164,0.000129,0.000162,30-Nov-90
0.005818,0.000055,0.000164,03-Dec-90
0.006918,0.000167,0.00016,04-Dec-90
0.01088,0.000045,0.000145,05-Dec-90
-0.00258,0.000184,0.000169,06-Dec-90
-0.004019,0.000054,0.000169,07-Dec-90
0.003472,0.000038,0.000184,10-Dec-90
-0.007477,0.000036,0.000187,11-Dec-90
0.011422,0.000063,0.00015,12-Dec-90
-0.002578,0.000015,0.000176,13-Dec-90
-0.007681,0.00004,0.000188,14-Dec-90
-0.002451,0.000056,0.000204,17-Dec-90
0.012285,0.000041,0.000177,18-Dec-90
0.000454,0.000018,0.000176,19-Dec-90
-0.000242,0.000094,0.000177,20-Dec-90
0.004925,0.000013,0.00017,21-Dec-90
-0.005592,0.00005,0.000191,24-Dec-90
0.002876,9.00E-06,0.000193,26-Dec-90
-0.007768,0.000019,0.000204,27-Dec-90
0.001309,0.000015,0.000208,28-Dec-90
0.004553,0.000011,0.00023,31-Dec-90
-0.011482,0.000048,0.000234,02-Jan-91
-0.014005,0.000054,0.000258,03-Jan-91
-0.002831,0.000062,0.000244,04-Jan-91
-0.017473,0.000095,0.000277,07-Jan-91
-0.001713,0.000062,0.000305,08-Jan-91
-0.010888,0.000494,0.000367,09-Jan-91
0.009712,0.00006,0.000325,10-Jan-91
0.002223,0.000019,0.000352,11-Jan-91
-0.00873,0.000236,0.000433,14-Jan-91
0.00396,0.000028,0.000432,15-Jan-91
0.007747,0.000056,0.000364,16-Jan-91
0.036642,0.00101,0.000249,17-Jan-91
0.012905,0.000069,0.000213,18-Jan-91
-0.003528,0.00012,0.000196,21-Jan-91
-0.008341,0.00005,0.000205,22-Jan-91
0.005771,0.000046,0.000189,23-Jan-91
0.013745,0.000071,0.000173,24-Jan-91
0.003846,0.000051,0.000163,25-Jan-91
-0.000119,0.000028,0.000176,28-Jan-91
-0.000566,0.000028,0.000178,29-Jan-91
0.014984,0.000046,0.000151,30-Jan-91
0.00882,0.00002,0.000145,31-Jan-91
-0.002562,0.000095,0.000146,01-Feb-91
0.015303,0.000039,0.000158,04-Feb-91
0.008348,0.000083,0.000152,05-Feb-91
0.019202,0.000069,0.00017,06-Feb-91
-0.004338,0.000153,0.000184,07-Feb-91
0.007907,0.00004,0.000181,08-Feb-91
0.025361,0.000107,0.000168,11-Feb-91
-0.008392,0.000112,0.000164,12-Feb-91
0.009585,0.000061,0.000144,13-Feb-91
-0.013093,0.000072,0.000153,14-Feb-91
0.013201,0.00009,0.000127,15-Feb-91
0.000894,0.000057,0.00013,19-Feb-91
-0.011572,0.00007,0.000164,20-Feb-91
-0.000466,0.000023,0.000143,21-Feb-91
0.001861,0.000149,0.000146,22-Feb-91
0.004393,0.000117,0.000173,25-Feb-91
-0.012191,0.000062,0.000137,26-Feb-91
0.013497,0.000063,0.000149,27-Feb-91
-0.001824,0.000077,0.000149,28-Feb-91
0.00922,0.000177,0.000146,01-Mar-91
-0.003082,0.000054,0.000144,04-Mar-91
0.019812,0.000071,0.000138,05-Mar-91
-0.001461,0.000092,0.00014,06-Mar-91
-0.000691,0.000035,0.000147,07-Mar-91
-0.002557,0.000161,0.000143,08-Mar-91
-0.005241,1.00E-05,0.000144,11-Mar-91
-0.007968,0.000036,0.000117,12-Mar-91
0.012195,0.000042,0.000086,13-Mar-91
-0.002861,0.000086,0.000074,14-Mar-91
0.000241,0.000038,0.000073,15-Mar-91
-0.003969,0.000105,0.000082,18-Mar-91
-0.014945,0.000127,0.000086,19-Mar-91
0.003621,0.000029,0.000085,20-Mar-91
-0.003649,0.000061,0.000094,21-Mar-91
0.002452,0.000028,0.00009,22-Mar-91
0.006375,0.000032,0.000093,25-Mar-91
0.017343,0.000052,0.000088,26-Mar-91
-0.002528,0.000053,0.000091,27-Mar-91
-0.000346,0.000015,0.000094,28-Mar-91
-0.010502,0.000086,0.0001,01-Apr-91
0.021844,0.000086,0.0001,02-Apr-91
-0.001477,0.000043,0.000103,03-Apr-91
0.002188,0.000064,0.000107,04-Apr-91
-0.01168,0.000092,0.000103,05-Apr-91
0.008753,0.000069,0.0001,08-Apr-91
-0.01356,0.000053,0.000134,09-Apr-91
-0.001098,0.000061,0.000129,10-Apr-91
0.011934,0.000127,0.000098,11-Apr-91
0.007308,0.000106,0.000113,12-Apr-91
0.002075,0.000059,0.00009,15-Apr-91
0.016728,0.000047,0.000083,16-Apr-91
0.007274,0.000041,0.000079,17-Apr-91
-0.00511,0.000035,0.000087,18-Apr-91
-0.011027,0.000048,0.000081,19-Apr-91
-0.008495,0.000034,0.000093,22-Apr-91
0.002124,0.000049,0.000096,23-Apr-91
0.002616,0.000024,0.000092,24-Apr-91
-0.009213,0.000051,0.000097,25-Apr-91
-0.000607,0.000057,0.000099,26-Apr-91
-0.014243,0.000088,0.00011,29-Apr-91
0.004486,0.000167,0.00011,30-Apr-91
0.013102,0.000038,0.000104,01-May-91
0.000605,0.000023,0.000102,02-May-91
0.000736,0.00002,0.000098,03-May-91
-0.001893,0.000021,0.000106,06-May-91
-0.007288,0.000034,0.000101,07-May-91
0.003149,0.000031,0.000105,08-May-91
0.012445,0.000079,0.000097,09-May-91
-0.01979,0.000069,0.000102,10-May-91
0.002711,0.000019,0.000103,13-May-91
-0.013737,0.000076,0.000107,14-May-91
-0.008241,0.000063,0.000112,15-May-91
0.009774,0.000048,0.000098,16-May-91
0.000537,0.000053,0.000092,17-May-91
-0.000295,0.000021,0.000097,20-May-91
0.008213,0.000045,0.000085,21-May-91
0.002235,0.000022,0.000086,22-May-91
-0.003275,0.000054,0.000086,23-May-91
0.006725,0.000025,0.000077,24-May-91
0.011719,0.000032,0.000081,28-May-91
0.002223,0.000028,0.000084,29-May-91
0.010835,0.000041,0.000085,30-May-91
0.007389,0.000053,0.000084,31-May-91
-0.004551,0.000023,0.000094,03-Jun-91
-0.000825,0.000024,0.000086,04-Jun-91
-0.006858,0.000042,0.000089,05-Jun-91
-0.003799,0.000037,0.000095,06-Jun-91
-0.011008,0.000046,0.000095,07-Jun-91
-0.002269,0.000019,0.000101,10-Jun-91
0.00653,0.000026,0.000099,11-Jun-91
-0.011614,0.000086,0.000104,12-Jun-91
0.002599,0.000023,0.000095,13-Jun-91
0.012265,0.000098,0.000084,14-Jun-91
-0.005666,0.000014,0.000079,17-Jun-91
-0.004059,0.000033,0.000086,18-Jun-91
-0.009288,0.00007,0.000101,19-Jun-91
0.000879,0.000024,0.000093,20-Jun-91
0.006187,0.000024,0.00009,21-Jun-91
-0.018192,0.000113,0.000111,24-Jun-91
-0.000782,0.000024,0.000105,25-Jun-91
0.002533,0.000056,0.000107,26-Jun-91
0.007534,0.000035,0.000106,27-Jun-91
-0.008692,0.000056,0.000126,28-Jun-91
0.018049,0.000094,0.000115,01-Jul-91
-0.001191,4.00E-06,0.000103,02-Jul-91
-0.011028,0.000117,0.000125,03-Jul-91
0.002007,0.000022,0.000111,05-Jul-91
0.010266,0.000108,0.000136,08-Jul-91
-0.004854,0.00003,0.000129,09-Jul-91
-0.000984,0.000111,0.000122,10-Jul-91
0.003268,0.000044,0.0001,11-Jul-91
0.008663,0.000063,0.000111,12-Jul-91
0.005612,0.000018,0.000105,15-Jul-91
-0.002225,0.000022,0.000101,16-Jul-91
-0.000944,0.000019,0.000102,17-Jul-91
0.010932,0.000029,0.000082,18-Jul-91
-0.002989,0.000014,0.000079,19-Jul-91
-0.003494,0.000023,0.000094,22-Jul-91
-0.009078,0.000022,0.000091,23-Jul-91
-0.002058,0.000023,0.000089,24-Jul-91
0.006108,0.000019,0.000082,25-Jul-91
-0.000079,0.000021,0.000079,26-Jul-91
0.005811,0.00002,0.000081,29-Jul-91
0.009197,0.00002,0.000079,30-Jul-91
0.002892,0.000013,0.000076,31-Jul-91
-0.001781,0.000015,0.000079,01-Aug-91
0.000155,0.000048,0.000077,02-Aug-91
-0.005491,0.000016,0.000084,05-Aug-91
0.014336,0.000074,0.00008,06-Aug-91
-0.000154,0.000011,0.00008,07-Aug-91
-0.00318,0.000037,0.000084,08-Aug-91
-0.005667,0.00002,0.000079,09-Aug-91
0.002322,0.000014,0.000077,12-Aug-91
0.004115,0.000062,0.000072,13-Aug-91
0.000718,0.000047,0.000075,14-Aug-91
-0.001463,0.000023,0.000076,15-Aug-91
-0.009679,0.000096,0.000085,16-Aug-91
-0.02391,0.000439,0.000148,19-Aug-91
0.007832,0.000127,0.000118,20-Aug-91
0.028988,0.000235,0.000081,21-Aug-91
0.001893,9.00E-06,0.00007,22-Aug-91
0.007231,0.000098,0.000069,23-Aug-91
-0.000812,8.00E-06,0.000073,26-Aug-91
-0.002008,0.000016,0.000079,27-Aug-91
0.009067,0.000013,0.000078,28-Aug-91
-0.000429,0.000021,0.000073,29-Aug-91
-0.002627,0.000019,0.000069,30-Aug-91
-0.008329,0.000056,0.000091,03-Sep-91
-0.005575,0.000041,0.000098,04-Sep-91
-0.002131,0.000013,0.000099,05-Sep-91
-0.000103,0.000033,0.000093,06-Sep-91
-0.001363,0.000011,0.000104,09-Sep-91
-0.010374,0.000052,0.00011,10-Sep-91
0.001377,8.00E-06,0.000107,11-Sep-91
0.005826,0.000023,0.000087,12-Sep-91
-0.009729,0.000035,0.000106,13-Sep-91
0.005693,0.000021,0.000105,16-Sep-91
-0.000726,0.000021,0.000103,17-Sep-91
0.003728,0.000015,0.000102,18-Sep-91
0.001601,0.000026,0.000102,19-Sep-91
0.000928,0.000015,0.000096,20-Sep-91
-0.005169,0.000018,0.000089,23-Sep-91
0.004628,0.000041,0.000085,24-Sep-91
-0.002143,7.00E-06,0.000081,25-Sep-91
-0.001009,0.000034,0.000078,26-Sep-91
-0.001528,0.000033,0.000088,27-Sep-91
0.005066,0.000038,0.000083,30-Sep-91
0.003449,0.000012,0.000073,01-Oct-91
-0.002418,0.000016,0.000083,02-Oct-91
-0.009809,0.00003,0.000096,03-Oct-91
-0.00841,0.000024,0.000081,04-Oct-91
-0.004601,0.000018,0.000114,07-Oct-91
0.003078,0.000022,0.000105,08-Oct-91
-0.010218,0.000033,0.000114,09-Oct-91
0.009903,0.000037,0.000105,10-Oct-91
0.002362,0.000016,0.000102,11-Oct-91
0.013074,0.000043,0.000092,14-Oct-91
0.011679,0.000037,0.000087,15-Oct-91
0.004567,0.000016,0.000073,16-Oct-91
-0.002243,0.000029,0.000088,17-Oct-91
0.001479,7.00E-06,0.000083,18-Oct-91
-0.006339,0.000015,0.000092,21-Oct-91
-0.005631,0.00004,0.000091,22-Oct-91
0.000284,0.000024,0.000087,23-Oct-91
-0.007426,0.000028,0.000081,24-Oct-91
-0.002262,0.000032,0.000082,25-Oct-91
0.013752,0.000028,0.000079,28-Oct-91
0.005019,0.000076,0.00008,29-Oct-91
0.003773,0.000022,0.000079,30-Oct-91
-0.001299,8.00E-06,0.000079,31-Oct-91
-0.002884,0.000106,0.00008,01-Nov-91
-0.002661,0.000031,0.000088,04-Nov-91
-0.004031,0.000027,0.00009,05-Nov-91
0.003236,0.000031,0.00009,06-Nov-91
0.00957,0.000012,0.000084,07-Nov-91
-0.00211,0.000039,0.000079,08-Nov-91
0.000585,4.00E-06,0.000073,11-Nov-91
0.009166,0.000023,0.000065,12-Nov-91
0.001687,0.000039,0.000064,13-Nov-91
-0.000654,0.000019,0.000064,14-Nov-91
-0.037272,0.000168,0.000148,15-Nov-91
0.006824,0.000123,0.000111,18-Nov-91
-0.015223,0.000253,0.000137,19-Nov-91
-0.002348,0.000064,0.000138,20-Nov-91
0.004034,0.000046,0.000121,21-Nov-91
-0.010368,0.000069,0.000149,22-Nov-91
-0.002129,0.000046,0.000159,25-Nov-91
0.006956,0.000177,0.00013,26-Nov-91
-0.003738,0.000017,0.00013,27-Nov-91
-0.003538,0.000024,0.000136,29-Nov-91
0.016336,0.000156,0.000135,02-Dec-91
-0.001154,0.000015,0.000128,03-Dec-91
-0.002339,0.000033,0.000126,04-Dec-91
-0.007076,0.000035,0.000135,05-Dec-91
0.004521,0.000106,0.00012,06-Dec-91
-0.002218,0.00003,0.000129,09-Dec-91
-0.000952,0.000061,0.000131,10-Dec-91
-0.000529,0.000051,0.00014,11-Dec-91
0.010142,0.000038,0.00012,12-Dec-91
0.007624,0.000049,0.000106,13-Dec-91
-0.000026,0.000012,0.000103,16-Dec-91
-0.004484,0.000011,0.000109,17-Dec-91
0.001932,0.000021,0.000105,18-Dec-91
-0.002507,0.000037,0.000107,19-Dec-91
0.011747,0.000138,0.000103,20-Dec-91
0.024955,0.000072,0.000091,23-Dec-91
0.006305,0.000074,0.000081,24-Dec-91
0.013704,0.000034,0.000079,26-Dec-91
0.003994,0.000023,0.000082,27-Dec-91
0.02113,0.000062,0.000103,30-Dec-91
0.004686,0.000112,0.000123,31-Dec-91
0.000408,0.000111,0.000119,02-Jan-92
0.004973,0.000028,0.000116,03-Jan-92
-0.003296,0.00002,0.000119,06-Jan-92
-0.001341,0.00004,0.000122,07-Jan-92
0.001676,0.000075,0.000116,08-Jan-92
-0.001173,0.000047,0.000119,09-Jan-92
-0.006029,0.000042,0.000113,10-Jan-92
-0.001833,0.000034,0.000093,13-Jan-92
0.014615,0.000044,0.000096,14-Jan-92
0.000785,0.000016,0.0001,15-Jan-92
-0.006103,0.000121,0.000103,16-Jan-92
0.001553,0.00004,0.000088,17-Jan-92
-0.005986,0.000037,0.000089,20-Jan-92
-0.008975,0.000044,0.000106,21-Jan-92
0.013217,0.000047,0.000093,22-Jan-92
-0.00761,0.000036,0.00009,23-Jan-92
0.001252,0.000026,0.000087,24-Jan-92
-0.00118,0.000014,0.000092,27-Jan-92
-0.000072,0.000019,0.000103,28-Jan-92
-0.011196,0.000134,0.000103,29-Jan-92
0.003115,0.000033,0.000101,30-Jan-92
-0.006899,0.000071,0.0001,31-Jan-92
0.001809,0.000023,0.00011,03-Feb-92
0.010493,0.000044,0.000107,04-Feb-92
-0.000024,0.00003,0.00011,05-Feb-92
-0.000048,0.000019,0.000117,06-Feb-92
-0.006619,0.000096,0.000113,07-Feb-92
0.006498,0.000021,0.000114,10-Feb-92
-0.000024,0.000023,0.000104,11-Feb-92
0.008112,0.000024,0.0001,12-Feb-92
-0.008281,0.000047,0.000101,13-Feb-92
-0.002929,0.000034,0.000096,14-Feb-92
-0.012441,0.000069,0.00011,18-Feb-92
0.002158,9.00E-06,0.000097,19-Feb-92
0.01372,0.000041,0.000092,20-Feb-92
-0.005913,0.000033,0.000094,21-Feb-92
0.001967,0.000039,0.000097,24-Feb-92
-0.004424,0.000051,0.000088,25-Feb-92
0.011867,0.000044,0.000092,26-Feb-92
-0.003594,0.000017,0.00009,27-Feb-92
-0.002807,0.000061,0.000092,28-Feb-92
-0.000606,0.000031,0.000094,02-Mar-92
0.000969,0.000012,0.000099,03-Mar-92
-0.008563,0.000042,0.000102,04-Mar-92
-0.006913,0.000042,0.000113,05-Mar-92
-0.005105,0.000017,0.000129,06-Mar-92
0.001902,9.00E-06,0.000128,09-Mar-92
0.004137,0.000031,0.000115,10-Mar-92
-0.007054,0.000037,0.00013,11-Mar-92
-0.000347,0.000035,0.000129,12-Mar-92
0.004816,0.000061,0.000111,13-Mar-92
0.001354,0.000021,0.000113,16-Mar-92
0.007819,0.000026,0.000093,17-Mar-92
-0.00105,0.00002,0.000092,18-Mar-92
0.001587,0.000011,0.00007,19-Mar-92
0.003654,0.000016,0.000088,20-Mar-92
-0.003385,0.000023,0.000093,23-Mar-92
-0.002516,0.000024,0.000088,24-Mar-92
-0.003332,6.00E-06,0.000087,25-Mar-92
0.000834,0.000013,0.000081,26-Mar-92
-0.010747,0.000047,0.000085,27-Mar-92
-0.00124,0.000011,0.000084,30-Mar-92
0.001711,0.000033,0.000087,31-Mar-92
0.001337,0.000047,0.00009,01-Apr-92
-0.00927,0.000033,0.000096,02-Apr-92
0.002618,0.000044,0.000101,03-Apr-92
0.010011,0.000029,0.000092,06-Apr-92
-0.01874,0.000066,0.000117,07-Apr-92
-0.008984,0.000157,0.000134,08-Apr-92
0.015444,0.00006,0.000106,09-Apr-92
0.009069,0.000082,0.000094,10-Apr-92
0.004418,5.00E-06,0.000081,13-Apr-92
0.015419,0.000096,0.000084,14-Apr-92
0.009389,0.000041,0.000085,15-Apr-92
-0.000577,0.00003,0.000073,16-Apr-92
-0.014185,0.000106,0.000084,20-Apr-92
0.000195,0.000029,0.00009,21-Apr-92
-0.001097,0.000024,0.000084,22-Apr-92
0.004358,0.000068,0.000083,23-Apr-92
-0.006288,0.000046,0.000088,24-Apr-92
-0.001395,0.000016,0.00009,27-Apr-92
0.001615,0.000028,0.000087,28-Apr-92
0.007088,0.000028,0.000084,29-Apr-92
0.007086,0.000015,0.00008,30-Apr-92
-0.005849,0.000053,0.000091,01-May-92
0.010561,0.00005,0.000095,04-May-92
-0.000168,0.000024,0.000092,05-May-92
-0.00012,0.000017,0.000093,06-May-92
-0.002258,0.000012,0.00009,07-May-92
0.000481,0.000022,0.000081,08-May-92
